horizon_label,horizon_trading_days,audition_pass_pct,avg_payout_events_per_trader,avg_prop_firm_fees_per_trader,avg_total_payouts_per_trader,avg_total_expenses_per_trader,avg_net_profit_per_trader,avg_roi_pct,pct_positive_roi,eval_starts_scaled,farm_est_total_fees,farm_est_net,mean_days_to_pass_eval_conditional_mc,mean_days_to_first_payout_trading,mean_funded_trading_days_to_first_payout,mean_days_between_payouts_conditional,pct_simulations_with_any_payout,mean_eval_days_used_single_lifecycle
1 Week,5.0,74.83333333333333,0.0,91.0,0.0,138.38095238095238,-138.38095238095238,-100.0,0.0,1.0,91.0,-138.38095238095238,2.224944320712695,,,,0.0,2.4066666666666667
1 Month,21.0,83.33333333333333,0.46,91.0,3946.4493750000006,290.0,3656.4493750000006,1260.8446120689657,45.333333333333336,1.0,91.0,3656.4493750000006,2.39,9.709558823529411,7.088235294117647,7.75,45.333333333333336,2.4033333333333333
1 Quarter,63.0,83.16666666666667,0.5683333333333334,91.0,5148.98625,688.0,4460.98625,648.3991642441861,52.833333333333336,3.0,273.0,13382.95875,2.527054108216433,10.372239747634069,7.712933753943218,15.166666666666666,52.833333333333336,2.5716666666666668
6 Months,126.0,82.83333333333333,0.5616666666666666,91.0,5115.092708333334,1285.0,3830.092708333333,298.06168936446176,53.0,6.0,546.0,22980.556249999998,2.5754527162977867,10.39937106918239,7.584905660377358,18.842105263157894,53.0,2.5716666666666668
12 Months,252.0,80.66666666666667,0.575,91.0,5231.780625,2479.0,2752.780625,111.04399455425578,53.833333333333336,12.0,1092.0,33033.3675,2.6735537190082646,9.922600619195046,7.052631578947368,15.772727272727273,53.833333333333336,2.658333333333333
18 Months,378.0,80.5,0.5333333333333333,91.0,4626.212291666667,3673.0,953.2122916666667,25.95187290135221,45.0,18.0,1638.0,17157.82125,2.5217391304347827,10.304635761589404,7.552980132450331,19.166666666666668,50.333333333333336,2.57
24 Months,504.0,81.83333333333333,0.5483333333333333,91.0,5135.438125,4867.0,268.43812500000007,5.515474111362238,43.333333333333336,24.0,2184.0,6442.515000000001,2.625254582484725,10.818181818181818,7.990259740259741,16.476190476190474,51.333333333333336,2.638333333333333
