period_months,trader_id,start_date,audition_attempts,auditions_passed,auditions_failed,aud_fail_trailing,aud_fail_dll,aud_expire,funded_accounts,funded_failed,funded_failed_before_first,funded_failed_after_payout,funded_survived_segment,total_payout_events,total_fees,total_payout_amount,net_profit,roi_pct
6.0,Trader_1,2020-01-02,14,13,1,1,0,0,13,13,6,7,0,7,2468.0,43075.250000000044,40607.250000000044,1645.3504862236646
6.0,Trader_2,2020-01-03,15,12,3,3,0,0,12,12,7,5,0,5,2559.0,33456.250000000044,30897.250000000044,1207.3954669792904
6.0,Trader_3,2020-01-04,18,14,4,4,0,0,14,13,8,5,1,5,2832.0,44538.5,41706.5,1472.6871468926554
6.0,Trader_4,2020-01-05,14,12,2,2,0,0,12,12,6,6,0,6,2468.0,55722.5,53254.5,2157.799837925446
6.0,Trader_5,2020-01-06,18,15,3,3,0,0,15,14,9,5,1,5,2832.0,44538.5,41706.5,1472.6871468926554
6.0,Trader_6,2020-01-07,19,16,3,3,0,0,16,15,10,5,0,5,2923.0,44538.5,41615.5,1423.7256243585357
6.0,Trader_7,2020-01-08,18,14,4,4,0,0,14,13,8,5,1,5,2832.0,45932.500000000015,43100.500000000015,1521.910310734464
6.0,Trader_8,2020-01-09,14,13,1,1,0,0,13,12,6,6,1,6,2468.0,40416.750000000044,37948.750000000044,1537.6316855753664
6.0,Trader_9,2020-01-10,19,15,4,3,0,1,15,15,10,5,0,5,2923.0,46390.50000000003,43467.50000000003,1487.085186452276
6.0,Trader_10,2020-01-11,17,14,3,3,0,0,14,13,8,5,1,5,2741.0,42883.000000000015,40142.000000000015,1464.5020065669469
