,0
mc_eval_expire_pct,0.0
mc_eval_fail_pct,4.522613065326633
mc_eval_mean_days_to_fail,2.111111111111111
mc_eval_mean_days_to_pass,4.578947368421052
mc_eval_mean_max_dd_during_window_usd,5602.834170854274
mc_eval_median_days_to_fail,2.0
mc_eval_median_days_to_pass,4.0
mc_eval_p10_days_to_fail,1.0
mc_eval_p10_days_to_pass,2.0
mc_eval_p10_max_dd_during_window_usd,2777.9999999999854
mc_eval_p25_days_to_fail,1.0
mc_eval_p25_days_to_pass,3.0
mc_eval_p25_max_dd_during_window_usd,3467.5
mc_eval_p50_days_to_fail,2.0
mc_eval_p50_days_to_pass,4.0
mc_eval_p50_max_dd_during_window_usd,5302.999999999993
mc_eval_p75_days_to_fail,3.0
mc_eval_p75_days_to_pass,6.0
mc_eval_p75_max_dd_during_window_usd,6811.0
mc_eval_p90_days_to_fail,3.2
mc_eval_p90_days_to_pass,8.0
mc_eval_p90_max_dd_during_window_usd,9404.000000000015
mc_eval_pass_pct,95.47738693467336
mc_eval_pct_runs_dd_within_85pct_of_trail,68.84422110552764
mc_eval_prob_pass_given_pass_or_bust_pct,95.47738693467335
obs_best_day_usd,27899.999999999993
obs_observed_max_best_day_to_equity_ratio,0.04016075818905207
obs_worst_day_usd,-6810.999999999988
roll_rolling_bust_pct,4.522613065326633
roll_rolling_expire_pct,0.0
roll_rolling_fail_pct,4.522613065326633
roll_rolling_mean_days_to_fail,2.111111111111111
roll_rolling_mean_days_to_pass,4.578947368421052
roll_rolling_mean_max_dd_during_window_usd,5602.834170854274
roll_rolling_median_days_to_fail,2.0
roll_rolling_median_days_to_pass,4.0
roll_rolling_p10_days_to_fail,1.0
roll_rolling_p10_days_to_pass,2.0
roll_rolling_p10_max_dd_during_window_usd,2777.9999999999854
roll_rolling_p25_days_to_fail,1.0
roll_rolling_p25_days_to_pass,3.0
roll_rolling_p25_max_dd_during_window_usd,3467.5
roll_rolling_p50_days_to_fail,2.0
roll_rolling_p50_days_to_pass,4.0
roll_rolling_p50_max_dd_during_window_usd,5302.999999999993
roll_rolling_p75_days_to_fail,3.0
roll_rolling_p75_days_to_pass,6.0
roll_rolling_p75_max_dd_during_window_usd,6811.0
roll_rolling_p90_days_to_fail,3.2
roll_rolling_p90_days_to_pass,8.0
roll_rolling_p90_max_dd_during_window_usd,9404.000000000015
roll_rolling_pass_pct,95.47738693467336
roll_rolling_pct_windows_dd_within_85pct_of_trail,68.84422110552764
roll_rolling_windows,199.0
