horizon_label,horizon_trading_days,audition_pass_pct,avg_payout_events_per_trader,avg_prop_firm_fees_per_trader,avg_total_payouts_per_trader,avg_total_expenses_per_trader,avg_net_profit_per_trader,avg_roi_pct,pct_positive_roi,eval_starts_scaled,farm_est_total_fees,farm_est_net,mean_days_to_pass_eval_conditional_mc,mean_days_to_first_payout_trading,mean_funded_trading_days_to_first_payout,mean_days_between_payouts_conditional,pct_simulations_with_any_payout,mean_eval_days_used_single_lifecycle
1 Week,5.0,66.0,0.0,149.0,0.0,196.38095238095235,-196.38095238095235,-100.0,0.0,1.0,149.0,-196.38095238095235,3.3106060606060606,,,,0.0,3.723333333333333
1 Month,21.0,94.0,0.7783333333333333,149.0,10419.92041666666,348.0,10071.92041666666,2894.2300047892704,72.5,1.0,149.0,10071.92041666666,4.586879432624113,12.190804597701149,7.572413793103448,7.9375,72.5,4.461666666666667
1 Quarter,63.0,95.5,1.0683333333333334,149.0,16896.255416666656,746.0,16150.255416666654,2164.913594727434,84.33333333333333,3.0,447.0,48450.766249999964,4.532286212914485,14.561264822134387,9.786561264822135,9.0,84.33333333333333,4.423333333333333
6 Months,126.0,96.33333333333333,1.0683333333333334,149.0,16955.392916666653,1343.0,15612.392916666655,1162.5013340779342,83.33333333333333,6.0,894.0,93674.35749999993,4.525951557093426,14.532,9.78,8.609929078014185,83.33333333333333,4.431666666666667
12 Months,252.0,94.16666666666667,1.0916666666666666,149.0,17409.95458333332,2537.0,14872.954583333321,586.2418046248846,86.5,12.0,1788.0,178475.45499999984,4.621238938053097,14.479768786127167,9.693641618497109,8.757352941176471,86.5,4.483333333333333
18 Months,378.0,94.83333333333333,1.0933333333333333,149.0,17346.548333333325,3731.0,13615.548333333323,364.9302689180735,85.33333333333333,18.0,2682.0,245079.86999999982,4.472759226713532,14.666015625,10.005859375,8.694444444444445,85.33333333333333,4.35
24 Months,504.0,96.0,1.1216666666666666,149.0,18622.36333333332,4925.0,13697.36333333332,278.11905245346844,85.66666666666667,24.0,3576.0,328736.7199999997,4.598958333333333,15.054368932038836,10.297087378640777,8.721518987341772,85.83333333333333,4.498333333333333
