instrument,config_id,contracts,sample_start,sample_end,full_trades,full_win_rate,full_profit_factor,full_trade_sharpe_rf0,full_daily_sharpe_rf3,full_total_pnl_usd,full_trade_max_dd_usd,full_daily_max_dd_usd,full_ev_per_trade_usd,full_trades_per_trading_day,full_trades_per_business_day,full_best_month_usd,full_worst_month_usd,full_positive_month_pct,oos_trades,oos_win_rate,oos_profit_factor,oos_trade_sharpe_rf0,oos_daily_sharpe_rf3,oos_total_pnl_usd,oos_trade_max_dd_usd,oos_daily_max_dd_usd,oos_ev_per_trade_usd,oos_trades_per_trading_day,oos_trades_per_business_day
CL,CL_12m_1030_1230_SL45_RR3.0_T10_ME2_D3,1,2021-07-11 18:07:00,2026-03-08 19:59:00,1760,74.82954545454545,2.900274568719872,6.088277279389003,7.561703020147362,366809.9999999985,7970.0,5700.000000000007,208.41477272727187,1.4839797639123102,1.448559670781893,25089.99999999999,-2150.000000000006,98.24561403508771,1760,74.82954545454545,2.900274568719872,6.088277279389003,7.561703020147362,366809.9999999985,7970.0,5700.000000000007,208.41477272727187,1.4839797639123102,1.0660205935796487
MGC,MGC_8m_900_ATR_SL1.0_RR3.0_ME1_D0,5,2020-02-09 18:00:00,2026-03-25 23:59:00,1252,65.49520766773162,5.413933840528721,6.504734905106873,6.504732425157957,390941.6211699517,4050.0,4050.0,312.25369103031284,1.0,0.7834793491864831,35675.515189885344,944.2822768972519,100.0,1252,65.49520766773162,5.413933840528721,6.504734905106873,6.504732425157957,390941.6211699517,4050.0,4050.0,312.25369103031284,1.0,0.758328285887341
MNQ,MNQ_5m_1100_1300_SL80_RR3.0_T0_ME2_D0,5,2020-01-01 18:00:00,2026-03-25 23:59:00,2252,50.97690941385436,3.057153727097438,5.518164620352814,6.838206638069813,594790.0,8687.5,8687.5,264.1163410301954,1.438058748403576,1.3849938499384993,31640.0,-1715.0,97.33333333333334,2252,50.97690941385436,3.057153727097438,5.518164620352814,6.838206638069813,594790.0,8687.5,8687.5,264.1163410301954,1.438058748403576,1.3640218049666868
YM,YM_5m_1100_1300_SL25_RR3.0_T25_ME2_D0,1,2020-02-09 18:00:00,2026-03-25 23:59:00,2332,69.46826758147513,8.850906855210575,9.37205983201729,12.021239931692024,766170.0,3310.0,3310.0,328.54631217838767,1.4853503184713375,1.4593241551939924,32875.0,450.0,100.0,2332,69.46826758147513,8.850906855210575,9.37205983201729,12.021239931692024,766170.0,3310.0,3310.0,328.54631217838767,1.4853503184713375,1.4124772864930346
