period,total_pnl_usd,avg_monthly_usd,max_drawdown_usd,trades,win_rate,profit_factor,expectancy_usd,trade_sharpe,daily_sharpe,best_month_usd,worst_month_usd,positive_month_pct,median_month_usd,worst_trade_usd,worst_day_usd,max_loss_streak_trades,max_loss_streak_days,max_drawdown_pct,max_dd_duration_days
FULL,1632943.6211699517,21772.581615599356,6638.581624462735,7596,47.23538704581359,4.911561812104879,214.97414707345337,6.065397127799213,12.275770013911185,63217.515189885344,-1096.0,98.66666666666667,19303.785001929107,-6630.0,-6638.581624462781,8,7,0.5923685709187219,19
OOS,1632943.6211699517,21772.581615599356,6638.581624462735,7596,47.23538704581359,4.911561812104879,214.97414707345337,6.065397127799213,12.275770013911185,63217.515189885344,-1096.0,98.66666666666667,19303.785001929107,-6630.0,-6638.581624462781,8,7,0.5923685709187219,19
