period,total_pnl_usd,avg_monthly_usd,max_drawdown_usd,trades,win_rate,profit_factor,expectancy_usd,trade_sharpe,daily_sharpe,best_month_usd,worst_month_usd,positive_month_pct,median_month_usd,worst_trade_usd,worst_day_usd,max_loss_streak_trades,max_loss_streak_days,max_drawdown_pct,max_dd_duration_days
FULL,1918214.2696379307,25576.190261839074,5250.0,7596,64.57345971563981,4.617423623527124,252.52952470220256,6.396912459110488,12.867309199951741,72011.72126583947,-548.0,98.66666666666667,24769.580902042697,-5670.0,-5250.0,8,7,0.2935545983449815,19
OOS,1918214.2696379307,25576.190261839074,5250.0,7596,64.57345971563981,4.617423623527124,252.52952470220256,6.396912459110488,12.867309199951741,72011.72126583947,-548.0,98.66666666666667,24769.580902042697,-5670.0,-5250.0,8,7,0.2935545983449815,19
