period,instrument,contracts,trades,win_rate,profit_factor,expectancy_usd,trade_sharpe,daily_sharpe,total_pnl_usd,max_drawdown_usd,best_month_usd,worst_month_usd,positive_month_pct,worst_trade_usd,worst_day_usd,max_loss_streak_trades,max_loss_streak_days,max_drawdown_pct
FULL,CL,1,1760,74.82954545454545,2.900274568719872,208.41477272727187,6.088277279389005,7.5617059307573795,366809.9999999985,5700.000000000007,25089.99999999999,-2150.000000000006,98.24561403508771,-4349.9999999999945,-4799.999999999997,6,5,10.726383138878475
FULL,MGC,11,1252,65.49520766773162,5.413933840528721,686.9581202666882,6.504734905106874,6.504734905106874,860071.5665738937,8910.0,78486.13341774775,2077.421009173954,100.0,-8910.0,-8910.0,6,6,1.2091364735620491
FULL,MNQ,3,2252,50.97690941385436,3.057153727097438,158.46980461811722,5.518164620352814,6.838208781410309,356874.0,5212.5,18984.0,-1029.0,97.33333333333334,-4972.5,-5092.5,8,7,2.089195103768367
FULL,YM,1,2332,69.46826758147513,8.850906855210575,328.54631217838767,9.37205983201729,12.021242864236417,766170.0,3310.0,32875.0,450.0,100.0,-2635.0,-2760.0,6,4,0.7045401332453546
OOS,CL,1,1760,74.82954545454545,2.900274568719872,208.41477272727187,6.088277279389005,7.5617059307573795,366809.9999999985,5700.000000000007,25089.99999999999,-2150.000000000006,98.24561403508771,-4349.9999999999945,-4799.999999999997,6,5,10.726383138878475
OOS,MGC,11,1252,65.49520766773162,5.413933840528721,686.9581202666882,6.504734905106874,6.504734905106874,860071.5665738937,8910.0,78486.13341774775,2077.421009173954,100.0,-8910.0,-8910.0,6,6,1.2091364735620491
OOS,MNQ,3,2252,50.97690941385436,3.057153727097438,158.46980461811722,5.518164620352814,6.838208781410309,356874.0,5212.5,18984.0,-1029.0,97.33333333333334,-4972.5,-5092.5,8,7,2.089195103768367
OOS,YM,1,2332,69.46826758147513,8.850906855210575,328.54631217838767,9.37205983201729,12.021242864236417,766170.0,3310.0,32875.0,450.0,100.0,-2635.0,-2760.0,6,4,0.7045401332453546
