scale,label_scale,CL,MGC,MNQ,YM,bust_pct,p10,p25,p50,p75,p90,avg_monthly,reach_7k_pct
1.0,1.00x,1,5,5,1,16.64,13236.65139171158,23363.49927302799,27010.79185866465,30177.679747289127,33177.79461572296,25388.804720623804,94.38
1.1,1.10x,1,6,6,1,16.259999999999998,14977.990467572492,25492.153907955915,29527.67935436595,33031.11338820858,36456.954201347886,27861.46594098211,95.0
1.35,1.35x,1,7,7,1,21.92,11763.433916815895,26387.8099167434,31644.307177834664,35738.34180774829,39616.73635330873,29244.328332203953,93.38
1.5,1.50x,2,8,8,2,36.32,9197.961592263586,30142.660532702525,46768.301034181364,53300.70270687786,59136.973280245955,40699.112085976776,91.97999999999999
