horizon_label,horizon_trading_days,audition_pass_pct,avg_payout_events_per_trader,avg_prop_firm_fees_per_trader,avg_total_payouts_per_trader,avg_total_expenses_per_trader,avg_net_profit_per_trader,avg_roi_pct,pct_positive_roi,eval_starts_scaled,farm_est_total_fees,farm_est_net,mean_days_to_pass_eval_conditional_mc,mean_days_to_first_payout_trading,mean_funded_trading_days_to_first_payout,mean_days_between_payouts_conditional,pct_simulations_with_any_payout,mean_eval_days_used_single_lifecycle
1 Week,5.0,55.166666666666664,0.0,91.0,0.0,138.38095238095238,-138.38095238095238,-100.0,0.0,1.0,91.0,-138.38095238095238,3.7794561933534743,,,,0.0,4.321666666666666
1 Month,21.0,98.66666666666667,0.975,91.0,3267.8436180873978,290.0,2977.8436180873978,1026.842626926689,76.5,1.0,91.0,2977.8436180873978,5.596283783783784,12.788671023965142,7.697167755991285,8.008264462809917,76.5,5.773333333333333
1 Quarter,63.0,99.83333333333333,1.4833333333333334,91.0,6158.094062174953,688.0,5470.094062174953,795.0718113626384,98.66666666666667,3.0,273.0,16410.28218652486,5.991652754590985,16.03885135135135,10.08108108108108,12.804263565891473,98.66666666666667,5.995
6 Months,126.0,99.16666666666667,1.5066666666666666,91.0,6398.037962419735,1285.0,5113.037962419736,397.90178695873425,97.16666666666667,6.0,546.0,30678.227774518415,6.105882352941176,16.304794520547944,10.243150684931507,13.074340527577938,97.33333333333333,6.105
12 Months,252.0,99.66666666666667,1.4583333333333333,91.0,6291.430155664166,2479.0,3812.4301556641653,153.78903411311677,94.83333333333333,12.0,1092.0,45749.16186796998,6.115384615384615,16.123519458544838,10.040609137055837,12.732,98.5,6.11
18 Months,378.0,99.66666666666667,1.4566666666666668,91.0,6112.648074120091,3673.0,2439.648074120091,66.42112916199541,74.5,18.0,1638.0,43913.66533416164,6.023411371237458,16.220338983050848,10.250847457627119,13.536666666666667,98.33333333333333,6.013333333333334
24 Months,504.0,99.83333333333333,1.4583333333333333,91.0,6070.136359178739,4867.0,1203.1363591787397,24.72028681279514,56.0,24.0,2184.0,28875.272620289754,6.136894824707847,16.380546075085324,10.30716723549488,12.32995951417004,97.66666666666667,6.128333333333333
