Instrument,Action,Quantity,Price,Time,ID,E/X,Position,Order ID,Name,Commission,Rate,Account,Connection,
CL APR26,Sell,1,25.52,4/7/2021 11:24:00 AM,NT-00284-1766,Entry,1 S,NT-00297-1766,Short,$0.00,1,Backtest,,
CL APR26,Sell,1,26.98,3/30/2021 5:00:00 PM,NT-00283-1766,Exit,-,NT-00296-1766,Exit on session close,$0.00,1,Backtest,,
CL APR26,Buy,1,27.30,3/30/2021 11:12:00 AM,NT-00282-1766,Entry,1 L,NT-00295-1766,Long,$0.00,1,Backtest,,
CL APR26,Buy,1,23.99,3/23/2021 5:00:00 PM,NT-00281-1766,Exit,-,NT-00294-1766,Exit on session close,$0.00,1,Backtest,,
CL APR26,Sell,1,25.36,3/23/2021 11:12:00 AM,NT-00280-1766,Entry,1 S,NT-00293-1766,Short,$0.00,1,Backtest,,
CL APR26,Sell,1,27.88,3/22/2021 5:00:00 PM,NT-00279-1766,Exit,-,NT-00292-1766,Exit on session close,$0.00,1,Backtest,,
CL APR26,Buy,1,28.29,3/22/2021 11:24:00 AM,NT-00278-1766,Entry,1 L,NT-00291-1766,Long,$0.00,1,Backtest,,
CL APR26,Sell,1,31.05,3/17/2021 5:00:00 PM,NT-00277-1766,Exit,-,NT-00290-1766,Exit on session close,$0.00,1,Backtest,,
CL APR26,Buy,1,30.94,3/17/2021 12:36:00 PM,NT-00276-1766,Entry,1 L,NT-00289-1766,Long,$0.00,1,Backtest,,
CL APR26,Sell,1,31.60,3/16/2021 5:00:00 PM,NT-00275-1766,Exit,-,NT-00288-1766,Exit on session close,$0.00,1,Backtest,,
CL APR26,Buy,1,31.30,3/16/2021 12:24:00 PM,NT-00274-1766,Entry,1 L,NT-00287-1766,Long,$0.00,1,Backtest,,
CL APR26,Buy,1,32.22,3/12/2021 5:00:00 PM,NT-00273-1766,Exit,-,NT-00286-1766,Exit on session close,$0.00,1,Backtest,,
CL APR26,Sell,1,32.31,3/12/2021 11:12:00 AM,NT-00272-1766,Entry,1 S,NT-00285-1766,Short,$0.00,1,Backtest,,
CL APR26,Sell,1,32.57,3/11/2021 5:00:00 PM,NT-00271-1766,Exit,-,NT-00284-1766,Exit on session close,$0.00,1,Backtest,,
CL APR26,Buy,1,32.20,3/11/2021 11:24:00 AM,NT-00270-1766,Entry,1 L,NT-00283-1766,Long,$0.00,1,Backtest,,
CL APR26,Buy,1,30.48,3/9/2021 5:00:00 PM,NT-00269-1766,Exit,-,NT-00282-1766,Exit on session close,$0.00,1,Backtest,,
CL APR26,Sell,1,31.51,3/9/2021 11:12:00 AM,NT-00268-1766,Entry,1 S,NT-00281-1766,Short,$0.00,1,Backtest,,
CL APR26,Buy,1,31.34,3/8/2021 5:00:00 PM,NT-00267-1766,Exit,-,NT-00280-1766,Exit on session close,$0.00,1,Backtest,,
CL APR26,Sell,1,32.28,3/8/2021 11:36:00 AM,NT-00266-1766,Entry,1 S,NT-00279-1766,Short,$0.00,1,Backtest,,
CL APR26,Sell,1,32.94,3/5/2021 5:00:00 PM,NT-00265-1766,Exit,-,NT-00278-1766,Exit on session close,$0.00,1,Backtest,,
CL APR26,Buy,1,32.45,3/5/2021 11:36:00 AM,NT-00264-1766,Entry,1 L,NT-00277-1766,Long,$0.00,1,Backtest,,
CL APR26,Buy,1,26.13,3/2/2021 5:00:00 PM,NT-00263-1766,Exit,-,NT-00276-1766,Exit on session close,$0.00,1,Backtest,,
CL APR26,Sell,1,27.29,3/2/2021 11:36:00 AM,NT-00262-1766,Entry,1 S,NT-00275-1766,Short,$0.00,1,Backtest,,
CL APR26,Buy,1,26.86,3/1/2021 5:00:00 PM,NT-00261-1766,Exit,-,NT-00274-1766,Exit on session close,$0.00,1,Backtest,,
CL APR26,Sell,1,28.12,3/1/2021 11:48:00 AM,NT-00260-1766,Entry,1 S,NT-00273-1766,Short,$0.00,1,Backtest,,
CL APR26,Buy,1,28.32,2/26/2021 5:00:00 PM,NT-00259-1766,Exit,-,NT-00272-1766,Exit on session close,$0.00,1,Backtest,,
CL APR26,Sell,1,28.96,2/26/2021 11:36:00 AM,NT-00258-1766,Entry,1 S,NT-00271-1766,Short,$0.00,1,Backtest,,
CL APR26,Buy,1,27.86,2/23/2021 5:00:00 PM,NT-00257-1766,Exit,-,NT-00270-1766,Exit on session close,$0.00,1,Backtest,,
CL APR26,Sell,1,27.87,2/23/2021 4:36:00 PM,NT-00256-1766,Entry,1 S,NT-00269-1766,Short,$0.00,1,Backtest,,
CL APR26,Sell,1,25.70,2/19/2021 5:00:00 PM,NT-00255-1766,Exit,-,NT-00268-1766,Exit on session close,$0.00,1,Backtest,,
CL APR26,Buy,1,26.78,2/19/2021 11:12:00 AM,NT-00254-1766,Entry,1 L,NT-00267-1766,Long,$0.00,1,Backtest,,
CL APR26,Buy,1,26.94,2/18/2021 5:00:00 PM,NT-00253-1766,Exit,-,NT-00266-1766,Exit on session close,$0.00,1,Backtest,,
CL APR26,Sell,1,27.89,2/18/2021 11:36:00 AM,NT-00252-1766,Entry,1 S,NT-00265-1766,Short,$0.00,1,Backtest,,
CL APR26,Buy,1,26.80,2/15/2021 1:00:00 PM,NT-00251-1766,Exit,-,NT-00264-1766,Exit on session close,$0.00,1,Backtest,,
CL APR26,Sell,1,26.84,2/15/2021 12:12:00 PM,NT-00250-1766,Entry,1 S,NT-00263-1766,Short,$0.00,1,Backtest,,
CL APR26,Buy,1,24.59,2/11/2021 5:00:00 PM,NT-00249-1766,Exit,-,NT-00262-1766,Exit on session close,$0.00,1,Backtest,,
CL APR26,Sell,1,25.08,2/11/2021 12:00:00 PM,NT-00248-1766,Entry,1 S,NT-00261-1766,Short,$0.00,1,Backtest,,
CL APR26,Sell,1,25.07,2/10/2021 5:00:00 PM,NT-00247-1766,Exit,-,NT-00260-1766,Exit on session close,$0.00,1,Backtest,,
CL APR26,Buy,1,25.33,2/10/2021 11:24:00 AM,NT-00246-1766,Entry,1 L,NT-00259-1766,Long,$0.00,1,Backtest,,
CL APR26,Buy,1,23.75,2/5/2021 5:00:00 PM,NT-00245-1766,Exit,-,NT-00258-1766,Exit on session close,$0.00,1,Backtest,,
CL APR26,Sell,1,23.43,2/5/2021 12:12:00 PM,NT-00244-1766,Entry,1 S,NT-00257-1766,Short,$0.00,1,Backtest,,
CL APR26,Buy,1,21.71,2/2/2021 5:00:00 PM,NT-00243-1766,Exit,-,NT-00255-1766,Exit on session close,$0.00,1,Backtest,,
CL APR26,Sell,1,21.50,2/2/2021 12:12:00 PM,NT-00242-1766,Entry,1 S,NT-00254-1766,Short,$0.00,1,Backtest,,
CL APR26,Sell,1,20.22,2/1/2021 5:00:00 PM,NT-00241-1766,Exit,-,NT-00253-1766,Exit on session close,$0.00,1,Backtest,,
CL APR26,Buy,1,19.62,2/1/2021 11:48:00 AM,NT-00240-1766,Entry,1 L,NT-00252-1766,Long,$0.00,1,Backtest,,
CL APR26,Sell,1,19.55,1/25/2021 5:00:00 PM,NT-00239-1766,Exit,-,NT-00251-1766,Exit on session close,$0.00,1,Backtest,,
CL APR26,Buy,1,19.04,1/25/2021 12:00:00 PM,NT-00238-1766,Entry,1 L,NT-00250-1766,Long,$0.00,1,Backtest,,
CL APR26,Sell,1,19.71,1/21/2021 5:00:00 PM,NT-00237-1766,Exit,-,NT-00249-1766,Exit on session close,$0.00,1,Backtest,,
CL APR26,Buy,1,19.84,1/21/2021 11:24:00 AM,NT-00236-1766,Entry,1 L,NT-00248-1766,Long,$0.00,1,Backtest,,
CL APR26,Sell,1,19.71,1/19/2021 5:00:00 PM,NT-00235-1766,Exit,-,NT-00247-1766,Exit on session close,$0.00,1,Backtest,,
CL APR26,Buy,1,19.75,1/19/2021 11:12:00 AM,NT-00234-1766,Entry,1 L,NT-00246-1766,Long,$0.00,1,Backtest,,
CL APR26,Sell,1,20.43,1/14/2021 5:00:00 PM,NT-00233-1766,Exit,-,NT-00245-1766,Exit on session close,$0.00,1,Backtest,,
CL APR26,Buy,1,19.33,1/14/2021 11:12:00 AM,NT-00232-1766,Entry,1 L,NT-00244-1766,Long,$0.00,1,Backtest,,
CL APR26,Sell,1,19.43,1/8/2021 5:00:00 PM,NT-00231-1766,Exit,-,NT-00243-1766,Exit on session close,$0.00,1,Backtest,,
CL APR26,Buy,1,18.50,1/8/2021 1:00:00 PM,NT-00230-1766,Entry,1 L,NT-00242-1766,Long,$0.00,1,Backtest,,
CL APR26,Sell,1,15.01,12/30/2020 5:00:00 PM,NT-00229-1766,Exit,-,NT-00241-1766,Exit on session close,$0.00,1,Backtest,,
CL APR26,Buy,1,14.95,12/30/2020 1:48:00 PM,NT-00228-1766,Entry,1 L,NT-00240-1766,Long,$0.00,1,Backtest,,
CL APR26,Buy,1,14.79,12/29/2020 5:00:00 PM,NT-00227-1766,Exit,-,NT-00239-1766,Exit on session close,$0.00,1,Backtest,,
CL APR26,Sell,1,14.71,12/29/2020 12:24:00 PM,NT-00226-1766,Entry,1 S,NT-00238-1766,Short,$0.00,1,Backtest,,
CL APR26,Buy,1,14.40,12/28/2020 5:00:00 PM,NT-00225-1766,Exit,-,NT-00237-1766,Exit on session close,$0.00,1,Backtest,,
CL APR26,Sell,1,14.77,12/28/2020 11:12:00 AM,NT-00224-1766,Entry,1 S,NT-00236-1766,Short,$0.00,1,Backtest,,
CL APR26,Sell,1,14.57,12/21/2020 5:00:00 PM,NT-00223-1766,Exit,-,NT-00234-1766,Exit on session close,$0.00,1,Backtest,,
CL APR26,Buy,1,14.15,12/21/2020 11:12:00 AM,NT-00222-1766,Entry,1 L,NT-00233-1766,Long,$0.00,1,Backtest,,
CL APR26,Sell,1,15.27,12/17/2020 5:00:00 PM,NT-00221-1766,Exit,-,NT-00232-1766,Exit on session close,$0.00,1,Backtest,,
CL APR26,Buy,1,15.27,12/17/2020 2:12:00 PM,NT-00220-1766,Entry,1 L,NT-00231-1766,Long,$0.00,1,Backtest,,
CL APR26,Buy,1,14.80,12/16/2020 5:00:00 PM,NT-00219-1766,Exit,-,NT-00230-1766,Exit on session close,$0.00,1,Backtest,,
CL APR26,Sell,1,14.13,12/16/2020 11:12:00 AM,NT-00218-1766,Entry,1 S,NT-00229-1766,Short,$0.00,1,Backtest,,
CL APR26,Sell,1,14.46,12/15/2020 5:00:00 PM,NT-00217-1766,Exit,-,NT-00228-1766,Exit on session close,$0.00,1,Backtest,,
CL APR26,Buy,1,14.38,12/15/2020 11:48:00 AM,NT-00216-1766,Entry,1 L,NT-00227-1766,Long,$0.00,1,Backtest,,
CL APR26,Buy,1,13.43,12/11/2020 5:00:00 PM,NT-00215-1766,Exit,-,NT-00226-1766,Exit on session close,$0.00,1,Backtest,,
CL APR26,Sell,1,13.46,12/11/2020 11:48:00 AM,NT-00214-1766,Entry,1 S,NT-00225-1766,Short,$0.00,1,Backtest,,
CL APR26,Buy,1,12.58,12/9/2020 5:00:00 PM,NT-00213-1766,Exit,-,NT-00224-1766,Exit on session close,$0.00,1,Backtest,,
CL APR26,Sell,1,12.69,12/9/2020 12:36:00 PM,NT-00212-1766,Entry,1 S,NT-00223-1766,Short,$0.00,1,Backtest,,
CL APR26,Sell,1,12.50,12/7/2020 5:00:00 PM,NT-00211-1766,Exit,-,NT-00222-1766,Exit on session close,$0.00,1,Backtest,,
CL APR26,Buy,1,13.00,12/7/2020 11:36:00 AM,NT-00210-1766,Entry,1 L,NT-00221-1766,Long,$0.00,1,Backtest,,
CL APR26,Sell,1,12.96,12/4/2020 5:00:00 PM,NT-00209-1766,Exit,-,NT-00220-1766,Exit on session close,$0.00,1,Backtest,,
CL APR26,Buy,1,12.99,12/4/2020 11:48:00 AM,NT-00208-1766,Entry,1 L,NT-00219-1766,Long,$0.00,1,Backtest,,
CL APR26,Sell,1,12.51,12/3/2020 5:00:00 PM,NT-00207-1766,Exit,-,NT-00218-1766,Exit on session close,$0.00,1,Backtest,,
CL APR26,Buy,1,12.16,12/3/2020 11:24:00 AM,NT-00206-1766,Entry,1 L,NT-00217-1766,Long,$0.00,1,Backtest,,
CL APR26,Sell,1,12.39,11/27/2020 1:45:00 PM,NT-00205-1766,Exit,-,NT-00216-1766,Exit on session close,$0.00,1,Backtest,,
CL APR26,Buy,1,12.37,11/27/2020 11:36:00 AM,NT-00204-1766,Entry,1 L,NT-00215-1766,Long,$0.00,1,Backtest,,
CL APR26,Sell,1,12.73,11/25/2020 5:00:00 PM,NT-00203-1766,Exit,-,NT-00214-1766,Exit on session close,$0.00,1,Backtest,,
CL APR26,Buy,1,12.47,11/25/2020 12:24:00 PM,NT-00202-1766,Entry,1 L,NT-00213-1766,Long,$0.00,1,Backtest,,
CL APR26,Buy,1,9.71,11/23/2020 5:00:00 PM,NT-00201-1766,Exit,-,NT-00212-1766,Exit on session close,$0.00,1,Backtest,,
CL APR26,Sell,1,9.66,11/23/2020 11:24:00 AM,NT-00200-1766,Entry,1 S,NT-00211-1766,Short,$0.00,1,Backtest,,
CL APR26,Buy,1,8.77,11/19/2020 5:00:00 PM,NT-00199-1766,Exit,-,NT-00210-1766,Exit on session close,$0.00,1,Backtest,,
CL APR26,Sell,1,8.58,11/19/2020 11:36:00 AM,NT-00198-1766,Entry,1 S,NT-00209-1766,Short,$0.00,1,Backtest,,
CL APR26,Buy,1,8.68,11/18/2020 5:00:00 PM,NT-00197-1766,Exit,-,NT-00208-1766,Exit on session close,$0.00,1,Backtest,,
CL APR26,Sell,1,8.94,11/18/2020 11:24:00 AM,NT-00196-1766,Entry,1 S,NT-00207-1766,Short,$0.00,1,Backtest,,
CL APR26,Sell,1,8.49,11/17/2020 5:00:00 PM,NT-00195-1766,Exit,-,NT-00206-1766,Exit on session close,$0.00,1,Backtest,,
CL APR26,Buy,1,8.18,11/17/2020 11:24:00 AM,NT-00194-1766,Entry,1 L,NT-00205-1766,Long,$0.00,1,Backtest,,
CL APR26,Buy,1,8.56,11/16/2020 5:00:00 PM,NT-00193-1766,Exit,-,NT-00204-1766,Exit on session close,$0.00,1,Backtest,,
CL APR26,Sell,1,8.81,11/16/2020 11:12:00 AM,NT-00192-1766,Entry,1 S,NT-00203-1766,Short,$0.00,1,Backtest,,
CL APR26,Sell,1,8.01,11/12/2020 5:00:00 PM,NT-00191-1766,Exit,-,NT-00202-1766,Exit on session close,$0.00,1,Backtest,,
CL APR26,Buy,1,8.96,11/12/2020 11:24:00 AM,NT-00190-1766,Entry,1 L,NT-00201-1766,Long,$0.00,1,Backtest,,
CL APR26,Buy,1,8.51,11/11/2020 5:00:00 PM,NT-00189-1766,Exit,-,NT-00200-1766,Exit on session close,$0.00,1,Backtest,,
CL APR26,Sell,1,9.25,11/11/2020 11:24:00 AM,NT-00188-1766,Entry,1 S,NT-00199-1766,Short,$0.00,1,Backtest,,
