Instrument,Action,Quantity,Price,Time,ID,E/X,Position,Order ID,Name,Commission,Rate,Account,Connection,
MNQ MAR26,Buy,1,14763.25,12/1/2022 12:10:00 PM,NT-00409-1711,Exit,-,NT-00436-1711,PT,$0.00,1,Backtest,,
MNQ MAR26,Sell,1,14823.25,12/1/2022 11:05:00 AM,NT-00408-1711,Entry,1 S,NT-00435-1711,Short,$0.00,1,Backtest,,
MNQ MAR26,Buy,1,14836.00,11/30/2022 5:00:00 PM,NT-00407-1711,Exit,-,NT-00434-1711,Exit on session close,$0.00,1,Backtest,,
MNQ MAR26,Sell,1,14277.50,11/30/2022 12:20:00 PM,NT-00406-1711,Entry,1 S,NT-00433-1711,Short,$0.00,1,Backtest,,
MNQ MAR26,Buy,1,14385.00,11/28/2022 5:00:00 PM,NT-00405-1711,Exit,-,NT-00432-1711,Exit on session close,$0.00,1,Backtest,,
MNQ MAR26,Sell,1,14451.00,11/28/2022 11:10:00 AM,NT-00404-1711,Entry,1 S,NT-00431-1711,Short,$0.00,1,Backtest,,
MNQ MAR26,Sell,1,14671.25,11/24/2022 1:00:00 PM,NT-00403-1711,Exit,-,NT-00429-1711,Exit on session close,$0.00,1,Backtest,,
MNQ MAR26,Buy,1,14683.50,11/24/2022 11:10:00 AM,NT-00402-1711,Entry,1 L,NT-00428-1711,Long,$0.00,1,Backtest,,
MNQ MAR26,Sell,1,14500.75,11/22/2022 5:00:00 PM,NT-00401-1711,Exit,-,NT-00427-1711,Exit on session close,$0.00,1,Backtest,,
MNQ MAR26,Buy,1,14403.50,11/22/2022 11:10:00 AM,NT-00400-1711,Entry,1 L,NT-00426-1711,Long,$0.00,1,Backtest,,
MNQ MAR26,Buy,1,14654.75,11/15/2022 5:00:00 PM,NT-00399-1711,Exit,-,NT-00425-1711,Exit on session close,$0.00,1,Backtest,,
MNQ MAR26,Sell,1,14782.00,11/15/2022 11:40:00 AM,NT-00398-1711,Entry,1 S,NT-00424-1711,Short,$0.00,1,Backtest,,
MNQ MAR26,Sell,1,14611.00,11/14/2022 12:45:00 PM,NT-00397-1711,Exit,-,NT-00423-1711,PT,$0.00,1,Backtest,,
MNQ MAR26,Buy,1,14551.00,11/14/2022 11:10:00 AM,NT-00396-1711,Entry,1 L,NT-00422-1711,Long,$0.00,1,Backtest,,
MNQ MAR26,Sell,1,14596.50,11/11/2022 5:00:00 PM,NT-00395-1711,Exit,-,NT-00421-1711,Exit on session close,$0.00,1,Backtest,,
MNQ MAR26,Buy,1,14469.75,11/11/2022 11:20:00 AM,NT-00394-1711,Entry,1 L,NT-00420-1711,Long,$0.00,1,Backtest,,
MNQ MAR26,Buy,1,13711.75,11/9/2022 12:30:00 PM,NT-00393-1711,Exit,-,NT-00419-1711,PT,$0.00,1,Backtest,,
MNQ MAR26,Sell,1,13771.75,11/9/2022 11:50:00 AM,NT-00392-1711,Entry,1 S,NT-00418-1711,Short,$0.00,1,Backtest,,
MNQ MAR26,Buy,1,13775.75,11/7/2022 5:00:00 PM,NT-00391-1711,Exit,-,NT-00417-1711,Exit on session close,$0.00,1,Backtest,,
MNQ MAR26,Sell,1,13671.75,11/7/2022 11:05:00 AM,NT-00390-1711,Entry,1 S,NT-00415-1711,Short,$0.00,1,Backtest,,
MNQ MAR26,Sell,1,13489.50,11/3/2022 5:00:00 PM,NT-00389-1711,Exit,-,NT-00414-1711,Exit on session close,$0.00,1,Backtest,,
MNQ MAR26,Buy,1,13597.00,11/3/2022 12:45:00 PM,NT-00388-1711,Entry,1 L,NT-00413-1711,Long,$0.00,1,Backtest,,
MNQ MAR26,Buy,1,14193.00,10/31/2022 12:50:00 PM,NT-00387-1711,Exit,-,NT-00412-1711,PT,$0.00,1,Backtest,,
MNQ MAR26,Sell,1,14253.00,10/31/2022 12:00:00 PM,NT-00386-1711,Entry,1 S,NT-00411-1711,Short,$0.00,1,Backtest,,
MNQ MAR26,Sell,1,13923.75,10/21/2022 11:45:00 AM,NT-00385-1711,Exit,-,NT-00410-1711,PT,$0.00,1,Backtest,,
MNQ MAR26,Buy,1,13863.75,10/21/2022 11:15:00 AM,NT-00384-1711,Entry,1 L,NT-00409-1711,Long,$0.00,1,Backtest,,
MNQ MAR26,Sell,1,13912.00,10/19/2022 5:00:00 PM,NT-00383-1711,Exit,-,NT-00408-1711,Exit on session close,$0.00,1,Backtest,,
MNQ MAR26,Buy,1,13902.25,10/19/2022 2:10:00 PM,NT-00382-1711,Entry,1 L,NT-00407-1711,Long,$0.00,1,Backtest,,
MNQ MAR26,Buy,1,13614.25,10/12/2022 5:00:00 PM,NT-00381-1711,Exit,-,NT-00406-1711,Exit on session close,$0.00,1,Backtest,,
MNQ MAR26,Sell,1,13603.75,10/12/2022 12:40:00 PM,NT-00380-1711,Entry,1 S,NT-00405-1711,Short,$0.00,1,Backtest,,
MNQ MAR26,Sell,1,14267.00,10/6/2022 5:00:00 PM,NT-00379-1711,Exit,-,NT-00404-1711,Exit on session close,$0.00,1,Backtest,,
MNQ MAR26,Buy,1,14384.25,10/6/2022 11:10:00 AM,NT-00378-1711,Entry,1 L,NT-00403-1711,Long,$0.00,1,Backtest,,
MNQ MAR26,Sell,1,13817.75,9/30/2022 5:00:00 PM,NT-00377-1711,Exit,-,NT-00401-1711,Exit on session close,$0.00,1,Backtest,,
MNQ MAR26,Buy,1,14023.00,9/30/2022 12:50:00 PM,NT-00376-1711,Entry,1 L,NT-00400-1711,Long,$0.00,1,Backtest,,
MNQ MAR26,Sell,1,14115.50,9/27/2022 5:00:00 PM,NT-00375-1711,Exit,-,NT-00399-1711,Exit on session close,$0.00,1,Backtest,,
MNQ MAR26,Buy,1,14256.50,9/27/2022 11:05:00 AM,NT-00374-1711,Entry,1 L,NT-00398-1711,Long,$0.00,1,Backtest,,
MNQ MAR26,Sell,1,14076.75,9/26/2022 5:00:00 PM,NT-00373-1711,Exit,-,NT-00397-1711,Exit on session close,$0.00,1,Backtest,,
MNQ MAR26,Buy,1,14149.25,9/26/2022 11:35:00 AM,NT-00372-1711,Entry,1 L,NT-00396-1711,Long,$0.00,1,Backtest,,
MNQ MAR26,Sell,1,15184.50,9/8/2022 5:00:00 PM,NT-00371-1711,Exit,-,NT-00395-1711,Exit on session close,$0.00,1,Backtest,,
MNQ MAR26,Buy,1,15041.00,9/8/2022 12:40:00 PM,NT-00370-1711,Entry,1 L,NT-00394-1711,Long,$0.00,1,Backtest,,
MNQ MAR26,Sell,1,14966.00,9/2/2022 5:00:00 PM,NT-00369-1711,Exit,-,NT-00393-1711,Exit on session close,$0.00,1,Backtest,,
MNQ MAR26,Buy,1,15257.75,9/2/2022 11:20:00 AM,NT-00368-1711,Entry,1 L,NT-00392-1711,Long,$0.00,1,Backtest,,
MNQ MAR26,Buy,1,15341.25,8/29/2022 5:00:00 PM,NT-00367-1711,Exit,-,NT-00391-1711,Exit on session close,$0.00,1,Backtest,,
MNQ MAR26,Sell,1,15315.50,8/29/2022 11:10:00 AM,NT-00366-1711,Entry,1 S,NT-00390-1711,Short,$0.00,1,Backtest,,
MNQ MAR26,Sell,1,15725.00,8/23/2022 5:00:00 PM,NT-00365-1711,Exit,-,NT-00389-1711,Exit on session close,$0.00,1,Backtest,,
MNQ MAR26,Buy,1,15748.25,8/23/2022 11:15:00 AM,NT-00364-1711,Entry,1 L,NT-00388-1711,Long,$0.00,1,Backtest,,
MNQ MAR26,Sell,1,16375.50,8/18/2022 5:00:00 PM,NT-00363-1711,Exit,-,NT-00387-1711,Exit on session close,$0.00,1,Backtest,,
MNQ MAR26,Buy,1,16358.00,8/18/2022 11:15:00 AM,NT-00362-1711,Entry,1 L,NT-00386-1711,Long,$0.00,1,Backtest,,
MNQ MAR26,Buy,1,16499.00,8/16/2022 5:00:00 PM,NT-00361-1711,Exit,-,NT-00385-1711,Exit on session close,$0.00,1,Backtest,,
