period_months,trader_id,start_date,audition_attempts,auditions_passed,auditions_failed,aud_fail_trailing,aud_fail_dll,aud_expire,funded_accounts,funded_failed,funded_failed_before_first,funded_failed_after_payout,funded_survived_segment,total_payout_events,total_fees,total_payout_amount,net_profit,roi_pct
6.0,Trader_1,2020-01-02,17,14,3,2,0,1,14,14,7,7,0,8,2741.0,85901.50000000015,83160.50000000015,3033.947464429046
6.0,Trader_2,2020-01-03,18,13,5,4,0,1,13,13,8,5,0,6,2832.0,72860.00000000013,70028.00000000013,2472.740112994355
6.0,Trader_3,2020-01-04,20,13,7,7,0,0,13,12,5,7,1,9,3014.0,143927.25,140913.25,4675.290311877903
6.0,Trader_4,2020-01-05,16,12,4,4,0,0,12,12,5,7,0,9,2650.0,136449.99999999997,133799.99999999997,5049.056603773583
6.0,Trader_5,2020-01-06,20,14,6,6,0,0,14,13,6,7,0,9,3014.0,143927.25,140913.25,4675.290311877903
6.0,Trader_6,2020-01-07,21,15,6,6,0,0,15,14,8,6,1,8,3105.0,135966.25000000003,132861.25000000003,4278.945249597425
6.0,Trader_7,2020-01-08,20,13,7,7,0,0,13,12,5,7,1,9,3014.0,143927.25,140913.25,4675.290311877903
6.0,Trader_8,2020-01-09,17,14,3,3,0,0,14,13,7,6,1,7,2741.0,72381.50000000013,69640.50000000013,2540.696825975926
6.0,Trader_9,2020-01-10,19,13,6,5,0,1,13,13,7,6,0,8,2923.0,139307.25000000006,136384.25000000006,4665.899760520016
6.0,Trader_10,2020-01-11,19,13,6,6,0,0,13,12,6,6,1,9,2923.0,140265.75,137342.75,4698.691412931919
