horizon_label,horizon_trading_days,audition_pass_pct,avg_payout_events_per_trader,avg_prop_firm_fees_per_trader,avg_total_payouts_per_trader,avg_total_expenses_per_trader,avg_net_profit_per_trader,avg_roi_pct,pct_positive_roi,eval_starts_scaled,farm_est_total_fees,farm_est_net,mean_days_to_pass_eval_conditional_mc,mean_days_to_first_payout_trading,mean_funded_trading_days_to_first_payout,mean_days_between_payouts_conditional,pct_simulations_with_any_payout,mean_eval_days_used_single_lifecycle
1 Week,5.0,80.16666666666667,0.0,91.0,0.0,138.38095238095238,-138.38095238095238,-100.0,0.0,1.0,91.0,-138.38095238095238,1.8918918918918919,,,,0.0,1.935
1 Month,21.0,85.16666666666667,0.4533333333333333,91.0,6538.06625,290.0,6248.06625,2154.505603448276,42.666666666666664,1.0,91.0,6248.06625,1.888454011741683,9.3046875,7.39453125,6.5,42.666666666666664,1.8883333333333334
1 Quarter,63.0,83.5,0.51,91.0,7397.592499999997,688.0,6709.592499999998,975.2314680232554,46.833333333333336,3.0,273.0,20128.777499999993,1.904191616766467,9.476868327402135,7.562277580071174,12.08,46.833333333333336,1.9216666666666666
6 Months,126.0,82.33333333333333,0.5016666666666667,91.0,7296.090833333332,1285.0,6011.090833333332,467.78916990920874,44.833333333333336,6.0,546.0,36066.54499999999,1.8481781376518218,9.189591078066915,7.323420074349443,12.96875,44.833333333333336,1.925
12 Months,252.0,77.33333333333333,0.49166666666666664,91.0,7132.274166666663,2479.0,4653.274166666665,187.70771144278604,44.833333333333336,12.0,1092.0,55839.28999999998,1.9612068965517242,8.769516728624536,6.828996282527881,11.076923076923077,44.833333333333336,1.9683333333333333
18 Months,378.0,80.16666666666667,0.495,91.0,7149.288749999997,3673.0,3476.2887499999983,94.6443983120065,45.166666666666664,18.0,1638.0,62573.19749999997,1.8835758835758836,9.586715867158672,7.726937269372693,13.23076923076923,45.166666666666664,1.9416666666666667
24 Months,504.0,80.83333333333333,0.5133333333333333,91.0,7889.720416666667,4867.0,3022.720416666665,62.106439627422745,44.166666666666664,24.0,2184.0,72545.28999999996,1.9051546391752576,9.981949458483754,8.025270758122744,11.96774193548387,46.166666666666664,1.97
