horizon_label,horizon_trading_days,audition_pass_pct,avg_payout_events_per_trader,avg_prop_firm_fees_per_trader,avg_total_payouts_per_trader,avg_total_expenses_per_trader,avg_net_profit_per_trader,avg_roi_pct,pct_positive_roi,eval_starts_scaled,farm_est_total_fees,farm_est_net,mean_days_to_pass_eval_conditional_mc,mean_days_to_first_payout_trading,mean_funded_trading_days_to_first_payout,mean_days_between_payouts_conditional,pct_simulations_with_any_payout,mean_eval_days_used_single_lifecycle
1 Week,5.0,16.166666666666668,0.0,149.0,0.0,196.38095238095235,-196.38095238095235,-100.0,0.0,1.0,149.0,-196.38095238095235,4.051546391752577,,,,0.0,4.846666666666667
1 Month,21.0,98.66666666666667,0.9783333333333334,149.0,5031.788946402194,348.0,4683.788946402194,1345.9163639086764,72.83333333333333,1.0,149.0,4683.788946402194,9.108108108108109,14.851258581235697,6.755148741418764,7.304195804195804,72.83333333333333,9.233333333333333
1 Quarter,63.0,100.0,1.9016666666666666,149.0,12464.594763262145,746.0,11718.594763262145,1570.8572068716012,100.0,3.0,447.0,35155.78428978643,9.631666666666666,18.716666666666665,9.085,11.012179487179488,100.0,9.631666666666666
6 Months,126.0,100.0,1.9133333333333333,149.0,12396.250836361534,1343.0,11053.250836361534,823.0268679345894,100.0,6.0,894.0,66319.5050181692,9.945,19.416666666666668,9.471666666666666,10.547368421052632,100.0,9.945
12 Months,252.0,100.0,1.9133333333333333,149.0,12406.25254269612,2537.0,9869.25254269612,389.0127135473441,100.0,12.0,1788.0,118431.03051235343,9.583333333333334,18.551666666666666,8.968333333333334,10.18603133159269,100.0,9.583333333333334
18 Months,378.0,100.0,1.9,149.0,12615.024147897464,3731.0,8884.024147897462,238.1137536289859,99.83333333333333,18.0,2682.0,159912.43466215432,9.571666666666667,19.29,9.718333333333334,10.510689354275742,100.0,9.571666666666667
24 Months,504.0,100.0,1.9216666666666666,149.0,12149.663415648643,4925.0,7224.663415648643,146.69367341418567,98.0,24.0,3576.0,173391.92197556744,9.731666666666667,18.8,9.068333333333333,10.58204467353952,100.0,9.731666666666667
