,0
mc_eval_expire_pct,0.0
mc_eval_fail_pct,0.0
mc_eval_mean_days_to_fail,0.0
mc_eval_mean_days_to_pass,9.760180995475114
mc_eval_mean_max_dd_during_window_usd,1631.539603422068
mc_eval_median_days_to_fail,0.0
mc_eval_median_days_to_pass,9.0
mc_eval_p10_days_to_fail,0.0
mc_eval_p10_days_to_pass,5.0
mc_eval_p10_max_dd_during_window_usd,723.2662403185677
mc_eval_p25_days_to_fail,0.0
mc_eval_p25_days_to_pass,7.0
mc_eval_p25_max_dd_during_window_usd,870.0
mc_eval_p50_days_to_fail,0.0
mc_eval_p50_days_to_pass,9.0
mc_eval_p50_max_dd_during_window_usd,1268.9999999999927
mc_eval_p75_days_to_fail,0.0
mc_eval_p75_days_to_pass,12.0
mc_eval_p75_max_dd_during_window_usd,2111.0000000000255
mc_eval_p90_days_to_fail,0.0
mc_eval_p90_days_to_pass,15.0
mc_eval_p90_max_dd_during_window_usd,3135.9999999999927
mc_eval_pass_pct,100.0
mc_eval_pct_runs_dd_within_85pct_of_trail,6.658047834518423
mc_eval_prob_pass_given_pass_or_bust_pct,100.0
obs_best_day_usd,19003.00000000004
obs_observed_max_best_day_to_equity_ratio,0.009906609652938781
obs_worst_day_usd,-5250.0
roll_rolling_bust_pct,0.0
roll_rolling_expire_pct,0.0
roll_rolling_fail_pct,0.0
roll_rolling_mean_days_to_fail,0.0
roll_rolling_mean_days_to_pass,9.760180995475114
roll_rolling_mean_max_dd_during_window_usd,1631.539603422068
roll_rolling_median_days_to_fail,0.0
roll_rolling_median_days_to_pass,9.0
roll_rolling_p10_days_to_fail,0.0
roll_rolling_p10_days_to_pass,5.0
roll_rolling_p10_max_dd_during_window_usd,723.2662403185677
roll_rolling_p25_days_to_fail,0.0
roll_rolling_p25_days_to_pass,7.0
roll_rolling_p25_max_dd_during_window_usd,870.0
roll_rolling_p50_days_to_fail,0.0
roll_rolling_p50_days_to_pass,9.0
roll_rolling_p50_max_dd_during_window_usd,1268.9999999999927
roll_rolling_p75_days_to_fail,0.0
roll_rolling_p75_days_to_pass,12.0
roll_rolling_p75_max_dd_during_window_usd,2111.0000000000255
roll_rolling_p90_days_to_fail,0.0
roll_rolling_p90_days_to_pass,15.0
roll_rolling_p90_max_dd_during_window_usd,3135.9999999999927
roll_rolling_pass_pct,100.0
roll_rolling_pct_windows_dd_within_85pct_of_trail,6.658047834518423
roll_rolling_windows,1547.0
