period_months,trader_id,start_date,audition_attempts,auditions_passed,auditions_failed,aud_fail_trailing,aud_fail_dll,aud_expire,funded_accounts,funded_failed,funded_failed_before_first,funded_failed_after_payout,funded_survived_segment,total_payout_events,total_fees,total_payout_amount,net_profit,roi_pct
6.0,Trader_1,2020-01-02,5,5,0,0,0,0,5,4,0,4,1,7,1939.0,36390.27352954862,34451.27352954862,1776.7546946647046
6.0,Trader_2,2020-01-03,6,5,1,0,0,1,5,5,0,5,0,7,2088.0,49561.7654898819,47473.7654898819,2273.6477725039226
6.0,Trader_3,2020-01-04,5,5,0,0,0,0,5,4,0,4,1,9,1939.0,44819.045172673126,42880.045172673126,2211.451530308052
6.0,Trader_4,2020-01-05,4,4,0,0,0,0,4,3,0,3,1,5,1790.0,34288.19047174808,32498.19047174808,1815.5413671367644
6.0,Trader_5,2020-01-06,5,4,1,0,0,1,4,4,0,4,0,10,1939.0,61065.45841735833,59126.45841735833,3049.3274067745397
6.0,Trader_6,2020-01-07,4,3,1,0,0,1,3,3,0,3,0,7,1790.0,48988.50270708755,47198.50270708755,2636.7878607311477
6.0,Trader_7,2020-01-08,4,4,0,0,0,0,4,3,0,3,1,10,1790.0,47586.11770235523,45796.11770235523,2558.4423297405156
6.0,Trader_8,2020-01-09,4,4,0,0,0,0,4,3,0,3,1,5,1790.0,32567.686174531103,30777.686174531103,1719.4238086330226
6.0,Trader_9,2020-01-10,6,5,1,1,0,0,5,4,0,4,1,5,2088.0,68805.88381373613,66717.88381373613,3195.300948933723
6.0,Trader_10,2020-01-11,4,4,0,0,0,0,4,3,0,3,1,8,1790.0,38932.2703973435,37142.2703973435,2074.9871730359496
