horizon_label,horizon_trading_days,audition_pass_pct,avg_payout_events_per_trader,avg_prop_firm_fees_per_trader,avg_total_payouts_per_trader,avg_total_expenses_per_trader,avg_net_profit_per_trader,avg_roi_pct,pct_positive_roi,eval_starts_scaled,farm_est_total_fees,farm_est_net,mean_days_to_pass_eval_conditional_mc,mean_days_to_first_payout_trading,mean_funded_trading_days_to_first_payout,mean_days_between_payouts_conditional,pct_simulations_with_any_payout,mean_eval_days_used_single_lifecycle
1 Week,5.0,76.33333333333333,0.0,91.0,0.0,138.38095238095238,-138.38095238095238,-100.0,0.0,1.0,91.0,-138.38095238095238,3.2576419213973797,,,,0.0,3.6333333333333333
1 Month,21.0,96.83333333333333,0.9383333333333334,91.0,4484.414158752397,290.0,4194.414158752397,1446.3497099146196,79.33333333333333,1.0,91.0,4194.414158752397,4.070567986230637,12.100840336134453,8.258403361344538,7.759036144578313,79.33333333333333,4.201666666666667
1 Quarter,63.0,97.0,1.2033333333333334,91.0,7020.2877234035295,688.0,6332.287723403529,920.3906574714432,93.33333333333333,3.0,273.0,18996.863170210585,4.292096219931271,14.491071428571429,10.23392857142857,12.139455782312925,93.33333333333333,4.291666666666667
6 Months,126.0,98.5,1.2,91.0,6576.1104654852315,1285.0,5291.1104654852315,411.7595692984616,92.5,6.0,546.0,31746.66279291139,4.450084602368866,14.25673249551167,9.820466786355476,12.993464052287582,92.83333333333333,4.428333333333334
12 Months,252.0,97.66666666666667,1.195,91.0,7086.251630159374,2479.0,4607.251630159374,185.8512154158683,89.83333333333333,12.0,1092.0,55287.019561912486,4.438566552901024,14.008928571428571,9.594642857142857,12.857142857142858,93.33333333333333,4.406666666666666
18 Months,378.0,96.5,1.1233333333333333,91.0,6367.151492613562,3673.0,2694.1514926135624,73.35016315310543,72.5,18.0,1638.0,48494.726867044126,4.381692573402418,14.926739926739927,10.543956043956044,10.854166666666666,91.0,4.331666666666667
24 Months,504.0,97.5,1.16,91.0,6575.893249047791,4867.0,1708.8932490477912,35.111839922905105,61.166666666666664,24.0,2184.0,41013.43797714699,4.5025641025641026,14.652951699463328,10.15742397137746,12.9375,93.16666666666667,4.488333333333333
