,0
mc_eval_expire_pct,0.0
mc_eval_fail_pct,2.5210084033613445
mc_eval_mean_days_to_fail,3.282051282051282
mc_eval_mean_days_to_pass,4.484084880636605
mc_eval_mean_max_dd_during_window_usd,1779.693416559489
mc_eval_median_days_to_fail,3.0
mc_eval_median_days_to_pass,4.0
mc_eval_p10_days_to_fail,1.0
mc_eval_p10_days_to_pass,2.0
mc_eval_p10_max_dd_during_window_usd,523.9999999999909
mc_eval_p25_days_to_fail,2.0
mc_eval_p25_days_to_pass,3.0
mc_eval_p25_max_dd_during_window_usd,820.0000000000045
mc_eval_p50_days_to_fail,3.0
mc_eval_p50_days_to_pass,4.0
mc_eval_p50_max_dd_during_window_usd,1371.0
mc_eval_p75_days_to_fail,4.5
mc_eval_p75_days_to_pass,5.0
mc_eval_p75_max_dd_during_window_usd,2197.0
mc_eval_p90_days_to_fail,6.0
mc_eval_p90_days_to_pass,7.0
mc_eval_p90_max_dd_during_window_usd,4016.0
mc_eval_pass_pct,97.47899159663865
mc_eval_pct_runs_dd_within_85pct_of_trail,40.27149321266968
mc_eval_prob_pass_given_pass_or_bust_pct,97.47899159663865
obs_best_day_usd,15300.000000000025
obs_observed_max_best_day_to_equity_ratio,0.00936958251445207
obs_worst_day_usd,-6638.581624462781
roll_rolling_bust_pct,2.5210084033613445
roll_rolling_expire_pct,0.0
roll_rolling_fail_pct,2.5210084033613445
roll_rolling_mean_days_to_fail,3.282051282051282
roll_rolling_mean_days_to_pass,4.484084880636605
roll_rolling_mean_max_dd_during_window_usd,1779.693416559489
roll_rolling_median_days_to_fail,3.0
roll_rolling_median_days_to_pass,4.0
roll_rolling_p10_days_to_fail,1.0
roll_rolling_p10_days_to_pass,2.0
roll_rolling_p10_max_dd_during_window_usd,523.9999999999909
roll_rolling_p25_days_to_fail,2.0
roll_rolling_p25_days_to_pass,3.0
roll_rolling_p25_max_dd_during_window_usd,820.0000000000045
roll_rolling_p50_days_to_fail,3.0
roll_rolling_p50_days_to_pass,4.0
roll_rolling_p50_max_dd_during_window_usd,1371.0
roll_rolling_p75_days_to_fail,4.5
roll_rolling_p75_days_to_pass,5.0
roll_rolling_p75_max_dd_during_window_usd,2197.0
roll_rolling_p90_days_to_fail,6.0
roll_rolling_p90_days_to_pass,7.0
roll_rolling_p90_max_dd_during_window_usd,4016.0
roll_rolling_pass_pct,97.47899159663865
roll_rolling_pct_windows_dd_within_85pct_of_trail,40.27149321266968
roll_rolling_windows,1547.0
