month,pnl_usd
2020-01-01,-822.0
2020-02-01,10870.707884320498
2020-03-01,64454.15717805368
2020-04-01,32663.521030757307
2020-05-01,13213.205304423453
2020-06-01,28932.28785617547
2020-07-01,21958.498113315938
2020-08-01,17404.99919055505
2020-09-01,31337.957356466814
2020-10-01,19882.227004244032
2020-11-01,19662.86540230009
2020-12-01,14177.41854145364
2021-01-01,27190.091034628607
2021-02-01,18856.82920297418
2021-03-01,22498.72184241235
2021-04-01,14825.585445347548
2021-05-01,21396.300476891498
2021-06-01,20947.938236632555
2021-07-01,24390.814917552765
2021-08-01,19068.779861115643
2021-09-01,27085.263097022696
2021-10-01,19457.2908299447
2021-11-01,30354.99999999992
2021-12-01,32014.38681511135
2022-01-01,29611.91284606708
2022-02-01,29574.339110342815
2022-03-01,40266.32540367961
2022-04-01,23165.378846360163
2022-05-01,46253.62092911131
2022-06-01,56792.12972118185
2022-07-01,35425.279656345636
2022-08-01,37701.40762190473
2022-09-01,28682.28637127776
2022-10-01,31883.41063248689
2022-11-01,28232.831008497556
2022-12-01,33062.16237818807
2023-01-01,31808.06795573581
2023-02-01,22365.85679246996
2023-03-01,35486.90565267397
2023-04-01,26016.25336671513
2023-05-01,35111.85749131624
2023-06-01,28452.962397797077
2023-07-01,21207.921009173937
2023-08-01,24261.056924688477
2023-09-01,22847.196441535994
2023-10-01,31730.512625755833
2023-11-01,20659.32183010607
2023-12-01,11123.37859552753
2024-01-01,22128.680074480602
2024-02-01,15020.814336987383
2024-03-01,30031.642560950604
2024-04-01,34979.969118705
2024-05-01,19732.24860303671
2024-06-01,26079.5536336036
2024-07-01,32580.601819929732
2024-08-01,37855.27371623199
2024-09-01,30782.511267450853
2024-10-01,34303.42082092245
2024-11-01,36856.241145052765
2024-12-01,21335.120426181744
2025-01-01,27728.454067457256
2025-02-01,31938.83249606416
2025-03-01,42885.658636798165
2025-04-01,69524.10832894714
2025-05-01,24489.296370585613
2025-06-01,38673.07563020276
2025-07-01,35604.52996829543
2025-08-01,33809.8987553892
2025-09-01,25677.849220308173
2025-10-01,71407.83076118179
2025-11-01,49493.9262783249
2025-12-01,51392.68134860673
2026-01-01,103610.13341774775
2026-02-01,66455.65077155223
2026-03-01,52002.34076825805
