Instrument,Action,Quantity,Price,Time,ID,E/X,Position,Order ID,Name,Commission,Rate,Account,Connection,
YM MAR26,Sell,1,33372,9/30/2022 5:00:00 PM,NT-00395-1656,Exit,-,NT-00412-1656,Exit on session close,$0.00,1,Backtest,,
YM MAR26,Buy,1,33895,9/30/2022 11:10:00 AM,NT-00394-1656,Entry,1 L,NT-00411-1656,Long,$0.00,1,Backtest,,
YM MAR26,Buy,1,33862,9/27/2022 12:00:00 PM,NT-00393-1656,Exit,-,NT-00410-1656,PT,$0.00,1,Backtest,,
YM MAR26,Sell,1,34102,9/27/2022 11:15:00 AM,NT-00392-1656,Entry,1 S,NT-00409-1656,Short,$0.00,1,Backtest,,
YM MAR26,Sell,1,33888,9/26/2022 5:00:00 PM,NT-00391-1656,Exit,-,NT-00408-1656,Exit on session close,$0.00,1,Backtest,,
YM MAR26,Buy,1,34175,9/26/2022 11:05:00 AM,NT-00390-1656,Entry,1 L,NT-00407-1656,Long,$0.00,1,Backtest,,
YM MAR26,Buy,1,34731,9/22/2022 5:00:00 PM,NT-00389-1656,Exit,-,NT-00406-1656,Exit on session close,$0.00,1,Backtest,,
YM MAR26,Sell,1,34782,9/22/2022 12:30:00 PM,NT-00388-1656,Entry,1 S,NT-00405-1656,Short,$0.00,1,Backtest,,
YM MAR26,Buy,1,34792,9/21/2022 5:00:00 PM,NT-00387-1656,Exit,-,NT-00404-1656,Exit on session close,$0.00,1,Backtest,,
YM MAR26,Sell,1,35467,9/21/2022 11:20:00 AM,NT-00386-1656,Entry,1 S,NT-00403-1656,Short,$0.00,1,Backtest,,
YM MAR26,Buy,1,35573,9/15/2022 5:00:00 PM,NT-00385-1656,Exit,-,NT-00402-1656,Exit on session close,$0.00,1,Backtest,,
YM MAR26,Sell,1,35732,9/15/2022 11:05:00 AM,NT-00384-1656,Entry,1 S,NT-00401-1656,Short,$0.00,1,Backtest,,
YM MAR26,Sell,1,36436,9/8/2022 5:00:00 PM,NT-00383-1656,Exit,-,NT-00400-1656,Exit on session close,$0.00,1,Backtest,,
YM MAR26,Buy,1,36189,9/8/2022 12:45:00 PM,NT-00382-1656,Entry,1 L,NT-00399-1656,Long,$0.00,1,Backtest,,
YM MAR26,Sell,1,36031,9/2/2022 5:00:00 PM,NT-00381-1656,Exit,-,NT-00398-1656,Exit on session close,$0.00,1,Backtest,,
YM MAR26,Buy,1,36598,9/2/2022 11:05:00 AM,NT-00380-1656,Entry,1 L,NT-00397-1656,Long,$0.00,1,Backtest,,
YM MAR26,Buy,1,36299,9/1/2022 5:00:00 PM,NT-00379-1656,Exit,-,NT-00396-1656,Exit on session close,$0.00,1,Backtest,,
YM MAR26,Sell,1,35965,9/1/2022 1:00:00 PM,NT-00378-1656,Entry,1 S,NT-00395-1656,Short,$0.00,1,Backtest,,
YM MAR26,Buy,1,36764,8/29/2022 5:00:00 PM,NT-00377-1656,Exit,-,NT-00394-1656,Exit on session close,$0.00,1,Backtest,,
YM MAR26,Sell,1,36648,8/29/2022 11:10:00 AM,NT-00376-1656,Entry,1 S,NT-00393-1656,Short,$0.00,1,Backtest,,
YM MAR26,Sell,1,37864,8/25/2022 5:00:00 PM,NT-00375-1656,Exit,-,NT-00392-1656,Exit on session close,$0.00,1,Backtest,,
YM MAR26,Buy,1,37648,8/25/2022 11:45:00 AM,NT-00374-1656,Entry,1 L,NT-00391-1656,Long,$0.00,1,Backtest,,
YM MAR26,Buy,1,38638,8/17/2022 5:00:00 PM,NT-00373-1656,Exit,-,NT-00390-1656,Exit on session close,$0.00,1,Backtest,,
YM MAR26,Sell,1,38520,8/17/2022 11:40:00 AM,NT-00372-1656,Entry,1 S,NT-00389-1656,Short,$0.00,1,Backtest,,
YM MAR26,Buy,1,37410,8/9/2022 5:00:00 PM,NT-00371-1656,Exit,-,NT-00387-1656,Exit on session close,$0.00,1,Backtest,,
YM MAR26,Sell,1,37400,8/9/2022 11:55:00 AM,NT-00370-1656,Entry,1 S,NT-00386-1656,Short,$0.00,1,Backtest,,
YM MAR26,Buy,1,37333,8/4/2022 5:00:00 PM,NT-00369-1656,Exit,-,NT-00385-1656,Exit on session close,$0.00,1,Backtest,,
YM MAR26,Sell,1,37334,8/4/2022 11:15:00 AM,NT-00368-1656,Entry,1 S,NT-00384-1656,Short,$0.00,1,Backtest,,
YM MAR26,Sell,1,37397,8/3/2022 5:00:00 PM,NT-00367-1656,Exit,-,NT-00383-1656,Exit on session close,$0.00,1,Backtest,,
YM MAR26,Buy,1,37209,8/3/2022 11:05:00 AM,NT-00366-1656,Entry,1 L,NT-00382-1656,Long,$0.00,1,Backtest,,
YM MAR26,Sell,1,37210,7/28/2022 5:00:00 PM,NT-00365-1656,Exit,-,NT-00381-1656,Exit on session close,$0.00,1,Backtest,,
YM MAR26,Buy,1,36836,7/28/2022 11:10:00 AM,NT-00364-1656,Entry,1 L,NT-00380-1656,Long,$0.00,1,Backtest,,
YM MAR26,Buy,1,36796,7/27/2022 5:00:00 PM,NT-00363-1656,Exit,-,NT-00379-1656,Exit on session close,$0.00,1,Backtest,,
YM MAR26,Sell,1,36516,7/27/2022 11:10:00 AM,NT-00362-1656,Entry,1 S,NT-00378-1656,Short,$0.00,1,Backtest,,
YM MAR26,Sell,1,36422,7/26/2022 5:00:00 PM,NT-00361-1656,Exit,-,NT-00377-1656,Exit on session close,$0.00,1,Backtest,,
YM MAR26,Buy,1,36516,7/26/2022 1:10:00 PM,NT-00360-1656,Entry,1 L,NT-00376-1656,Long,$0.00,1,Backtest,,
YM MAR26,Buy,1,36502,7/22/2022 5:00:00 PM,NT-00359-1656,Exit,-,NT-00375-1656,Exit on session close,$0.00,1,Backtest,,
YM MAR26,Sell,1,36720,7/22/2022 11:20:00 AM,NT-00358-1656,Entry,1 S,NT-00374-1656,Short,$0.00,1,Backtest,,
YM MAR26,Sell,1,36443,7/20/2022 5:00:00 PM,NT-00357-1656,Exit,-,NT-00373-1656,Exit on session close,$0.00,1,Backtest,,
YM MAR26,Buy,1,36439,7/20/2022 1:00:00 PM,NT-00356-1656,Entry,1 L,NT-00372-1656,Long,$0.00,1,Backtest,,
YM MAR26,Sell,1,35820,7/11/2022 5:00:00 PM,NT-00355-1656,Exit,-,NT-00371-1656,Exit on session close,$0.00,1,Backtest,,
YM MAR26,Buy,1,35799,7/11/2022 11:05:00 AM,NT-00354-1656,Entry,1 L,NT-00370-1656,Long,$0.00,1,Backtest,,
YM MAR26,Buy,1,35701,7/6/2022 5:00:00 PM,NT-00353-1656,Exit,-,NT-00369-1656,Exit on session close,$0.00,1,Backtest,,
YM MAR26,Sell,1,35544,7/6/2022 11:05:00 AM,NT-00352-1656,Entry,1 S,NT-00368-1656,Short,$0.00,1,Backtest,,
YM MAR26,Buy,1,35348,6/30/2022 5:00:00 PM,NT-00351-1656,Exit,-,NT-00367-1656,Exit on session close,$0.00,1,Backtest,,
YM MAR26,Sell,1,35241,6/30/2022 3:20:00 PM,NT-00350-1656,Entry,1 S,NT-00366-1656,Short,$0.00,1,Backtest,,
YM MAR26,Sell,1,35660,6/29/2022 5:00:00 PM,NT-00349-1656,Exit,-,NT-00365-1656,Exit on session close,$0.00,1,Backtest,,
YM MAR26,Buy,1,35716,6/29/2022 2:05:00 PM,NT-00348-1656,Entry,1 L,NT-00364-1656,Long,$0.00,1,Backtest,,
YM MAR26,Sell,1,36100,6/27/2022 5:00:00 PM,NT-00347-1656,Exit,-,NT-00363-1656,Exit on session close,$0.00,1,Backtest,,
