horizon_label,horizon_trading_days,audition_pass_pct,avg_payout_events_per_trader,avg_prop_firm_fees_per_trader,avg_total_payouts_per_trader,avg_total_expenses_per_trader,avg_net_profit_per_trader,avg_roi_pct,pct_positive_roi,eval_starts_scaled,farm_est_total_fees,farm_est_net,mean_days_to_pass_eval_conditional_mc,mean_days_to_first_payout_trading,mean_funded_trading_days_to_first_payout,mean_days_between_payouts_conditional,pct_simulations_with_any_payout,mean_eval_days_used_single_lifecycle
1 Week,5.0,71.33333333333333,0.0,149.0,0.0,196.38095238095235,-196.38095238095235,-100.0,0.0,1.0,149.0,-196.38095238095235,3.0817757009345796,,,,0.0,3.3783333333333334
1 Month,21.0,91.83333333333333,0.79,149.0,12611.32145833333,348.0,12263.32145833333,3523.942947796934,69.33333333333333,1.0,149.0,12263.32145833333,3.782214156079855,11.526442307692308,7.576923076923077,7.068965517241379,69.33333333333333,3.6766666666666667
1 Quarter,63.0,93.5,0.91,149.0,15180.790833333322,746.0,14434.790833333323,1934.9585567470942,70.33333333333333,3.0,447.0,43304.37249999997,3.7611408199643495,11.483412322274882,7.471563981042654,9.57258064516129,70.33333333333333,3.671666666666667
6 Months,126.0,93.0,0.8883333333333333,149.0,15018.90791666666,1343.0,13675.907916666658,1018.3103437577556,68.83333333333333,6.0,894.0,82055.44749999995,3.7777777777777777,11.418886198547215,7.426150121065375,9.483333333333333,68.83333333333333,3.695
12 Months,252.0,90.5,0.9133333333333333,149.0,16132.125833333324,2537.0,13595.125833333324,535.8740967021413,70.66666666666667,12.0,1788.0,163141.5099999999,3.8360957642725597,11.36320754716981,7.400943396226415,9.943548387096774,70.66666666666667,3.72
18 Months,378.0,92.5,0.9066666666666666,149.0,15043.728333333327,3731.0,11312.728333333327,303.2090145626729,69.16666666666667,18.0,2682.0,203629.1099999999,3.818018018018018,11.612048192771084,7.56144578313253,8.976744186046512,69.16666666666667,3.7016666666666667
24 Months,504.0,92.66666666666667,0.8833333333333333,149.0,15135.084999999994,4925.0,10210.08499999999,207.31137055837544,68.33333333333333,24.0,3576.0,245042.03999999975,3.8866906474820144,11.43170731707317,7.382926829268293,10.066666666666666,68.33333333333333,3.81
